"","Company","mkt_cap","pe","employees","recommend"
"379","PYPL","83.34B","36.2","29900",1
"380","QCOM","135.33B","11.59","51000",1
"381","QRVO","9.98B","23.79","8900",0
"382","RCL","17.93B","-","102500",1
"383","RE","14.99B","25.83","2428",1
"384","REG","10.53B","22.04","445",1
"385","REGN","80.38B","19.49","11851",1
"386","RF","19.94B","9.56","20073",1
"387","RHI","8.60B","13.37","16300",0
"388","RJF","22.66B","14.83","17000",1
"389","RL","7.64B","15.61","13500",0
"390","RMD","30.94B","39.02","8160",1
"391","ROK","34.01B","32.75","26000",0
"392","ROL","17.07B","46.77","17515",1
"393","ROP","44.74B","46","15800",1
"394","ROST","37.08B","24.88","100000",1
"395","RSG","40.51B","27.28","40000",1
"396","RTX","142.66B","27.73","182000",1
"397","SBAC","26.78B","59.48","1834",1
"398","SBNY","6.27B","5.5","1854",1
"399","SBUX","116.07B","35.57","402000",0
"400","SCHW","137.99B","21.74","35300",1
"401","SEDG","18.05B","195.86","4926",1
"402","SEE","6.79B","14.29","16300",0
"403","SHW","55.79B","28.49","64366",0
"404","SIVB","15.45B","10.57","8553",1
"405","SJM","15.81B","22.61","6700",0
"406","SLB","75.10B","22.37","99000",1
"407","SNA","13.06B","14.69","12900",0
"408","SNPS","55.57B","61","19000",1
"409","SO","69.24B","19.79","27700",0
"410","SPG","39.55B","18.74","2500",1
"411","SPGI","107.17B","32.29","39950",1
"412","SRE","46.07B","22.46","15785",1
"413","STE","17.75B","-","16422",1
"414","STT","29.28B","12.04","42226",1
"415","STX","13.20B","22.7","40000",0
"416","STZ","40.19B","648.82","10000",1
"417","SWK","12.60B","86.38","54200",0
"418","SWKS","17.92B","15.66","11150",0
"419","SYF","14.80B","5.64","18500",0
"420","SYK","97.12B","43.04","51000",1
"421","SYY","37.64B","26.98","71000",0
"422","T","131.59B","-","160700",0
"423","TAP","11.01B","-","16600",0
"424","TDG","41.30B","52.03","14400",1
"425","TDY","19.91B","25.94","14700",1
"426","TECH","11.63B","46.36","3000",1
"427","TEL","40.60B","18.52","92000",1
"428","TER","15.96B","24.47","6500",1
