,Date,X,USDHashprice,BTCHashprice,CoinPrice,StandardizedCloseUSDBTC,StandardizedCloseHashBTC,StandardizedClosePriceBTC,Close,StandardizedCloseMSTR,MarketCap,StandardizedMarketCap,BTCHoldings,StandardizedBitcoinHoldings
424,10/27/21,611,378.07,0.00635295,59510.93586,2.416230985,0.463713778,0.886522224,71.5,0.004711975,5590871000,-0.264948016,114042,-0.270051062
425,10/28/21,612,381.75,0.00633595,60251.42244,2.452877007,0.458974825,0.918545922,71.71,0.007233267,5607291740,-0.263968506,114042,-0.270051062
426,10/29/21,613,391.02,0.00634948,61582.99577,2.545189133,0.462746474,0.976132249,71.51,0.004832036,5591652940,-0.264901373,114042,-0.270051062
427,11/1/21,616,360.39,0.00588003,61290.50362,2.240170749,0.331881699,0.96348289,73.61,0.030044957,5755860340,-0.255106269,114042,-0.270051062
428,11/2/21,617,369.2,0.00590256,62549.13122,2.327902123,0.338162204,1.017914546,79.41,0.099680644,6209385540,-0.228053126,114042,-0.270051062
429,11/3/21,618,371.04,0.00590311,62855.00355,2.346225134,0.338315523,1.031142554,81.03,0.119130611,6336059820,-0.220496904,114042,-0.270051062
430,11/4/21,619,365.26,0.00590507,61855.32094,2.28866698,0.338861897,0.987909449,80,0.106764274,6255520000,-0.225301169,114042,-0.270051062
431,11/5/21,620,363.62,0.00590955,61530.91183,2.2723356,0.34011075,0.973879783,79.75,0.103762736,6235971500,-0.226467253,114042,-0.270051062
432,11/8/21,623,386.79,0.00587806,65802.32253,2.503066124,0.331332538,1.158604761,86,0.178801191,6724684000,-0.197315159,114042,-0.270051062
433,11/9/21,624,401.44,0.00594425,67534.17168,2.648953141,0.349783788,1.233501748,85.9,0.177600576,6716864600,-0.197781592,114042,-0.270051062
434,11/10/21,625,396.17,0.00592474,66867.06927,2.596473648,0.344345143,1.204651683,81.63,0.126334303,6382976220,-0.217698303,114042,-0.270051062
435,11/11/21,626,383.53,0.00590695,64928.60105,2.470602529,0.339385969,1.120819075,81.84,0.128855595,6399396960,-0.216718792,114042,-0.270051062
436,11/12/21,627,378.71,0.00590056,64182.04374,2.422604207,0.33760468,1.088532837,81.17,0.120811473,6347006980,-0.219843897,114042,-0.270051062
437,11/15/21,630,364.93,0.00560541,65103.17711,2.285380787,0.255328105,1.128368937,79.5,0.100761198,6216423000,-0.227633336,114042,-0.270051062
438,11/16/21,631,341.88,0.00562185,60812.72179,2.055845242,0.259910951,0.94282034,75.2,0.04913474,5880188800,-0.247689977,114042,-0.270051062
439,11/17/21,632,336.84,0.00562407,59892.5689,2.005656125,0.260529802,0.903026644,75.3,0.050335356,5888008200,-0.247223543,114042,-0.270051062
440,11/18/21,633,331.75,0.00562062,59023.73759,1.9549691,0.259568073,0.865452443,72.74,0.019599604,5687831560,-0.259164241,114042,-0.270051062
